aircraft_type,flaps,slats,trim_tab,takeoff_speed,wind_speed,wind_direction,wind_trace_speed
A300-100,30,11,2.4,150,FRONT,14
A-330,10,14,1.2,318,31,BEHIND,5
DC-10,16,12,2.0,196,32,LEFT,1
DC-9,25,15,2.8,241,30,RIGHT,13
DC-10,15,19,3.6,250,25,RIGHT,7
B-777,17,8,1.6,237,6,LEFT,8
DC-10,23,2,1.9,259,26,BEHIND,10
A-330,9,1,1.8,151,18,FRONT,12
B-737,37,18,2.7,245,27,FRONT,2
DC-8,35,10,1.5,144,5,RIGHT,6
A-320,27,14,2.7,317,27,FRONT,12
DC-9,17,8,3.2,235,6,LEFT,5
A-330,11,20,3.4,196,32,FRONT,14
B-737,38,20,2.7,298,12,LEFT,12
A-320,16,19,1.1,215,8,FRONT,6
DC-8,26,18,2.6,166,19,RIGHT,12
A-330,20,20,0.9,230,20,RIGHT,11
DC-9,27,20,2.2,293,12,BEHIND,10
A-300,9,20,3.7,138,12,FRONT,5
B-737,7,7,1.9,283,10,BEHIND,13
B-737,38,3,1.9,219,6,LEFT,12
DC-10,21,17,3.7,252,25,FRONT,11
A-320,25,15,3.6,257,2,BEHIND,4
DC-8,31,8,1.9,138,8,RIGHT,7
A-320,11,7,1.7,155,23,RIGHT,7
B-747,27,6,0.6,303,25,BEHIND,7
